pixel,true_gps_lat,true_gps_lon,true_attitude_roll,true_attitude_pitch,true_attitude_yaw,estimated_gps_lat,estimated_gps_lon,timestamp
"(321, 242)",40.9588854,29.1357978,9.999,-0.22198393612997794,-0.11472349917774395,91.28419418165646,40.95888662781683,29.135797495618533,1756989275.9067094
"(321, 241)",40.9588854,29.1357978,9.999,0.0611307133399298,-0.11187459659244123,91.28356580425282,40.95888574709634,29.13579746358301,1756989276.0217984
"(321, 240)",40.9588854,29.1357978,9.999,0.0611307133399298,-0.11187459659244123,91.28356580425282,40.95888531005395,29.135797450612955,1756989276.1282008
"(321, 240)",40.9588854,29.1357978,9.999,0.0020294491388564632,-0.11698753346483129,91.28459716281749,40.958885402508045,29.13579746397316,1756989276.2445574
"(321, 241)",40.9588854,29.1357978,9.999,0.0020294491388564632,-0.11698753346483129,91.28459716281749,40.9588858395519,29.13579747695077,1756989276.3545618
"(321, 242)",40.9588854,29.1357978,9.999,0.0020294491388564632,-0.11698753346483129,91.28459716281749,40.95888627659559,29.135797489928382,1756989276.5622072
"(321, 242)",40.9588854,29.1357978,9.999,-0.2861021635407007,-0.11014762594948581,91.29058040853042,40.95888672851648,29.135797489292234,1756989276.6797278
"(321, 241)",40.9588854,29.1357978,9.999,-0.06496517753791099,-0.11480164614680242,91.2832721061185,40.958885944626466,29.135797475511744,1756989276.8912587
"(321, 240)",40.9588854,29.1357978,9.999,-0.06496517753791099,-0.11480164614680242,91.2832721061185,40.95888550757923,29.135797462550713,1756989277.000147
"(321, 240)",40.9588854,29.1357978,9.999,0.05574089033694308,-0.11019980619350633,91.2908126349622,40.95888531859388,29.135797447374106,1756989277.1066737
"(321, 242)",40.9588854,29.1357978,9.999,0.05574089033694308,-0.11019980619350633,91.2908126349622,40.95888619267236,29.13579747345997,1756989277.3095696
"(321, 242)",40.9588854,29.1357978,9.999,-0.23669052069199223,-0.1075919879415639,91.28251395512063,40.95888665111471,29.13579748145136,1756989277.4224432
