pixel,gps_true,drone_gps,drone_attitude
"(536, 183)","(-35.363261, 149.1652383)","(-35.36324031745397, 149.16525929710951)","(-0.001766139641404152, 0.001609050901606679, 0.9094613194465637)"
"(536, 186)","(-35.363261, 149.1652383)","(-35.36324047071639, 149.165259444613)","(-0.0006003752932883799, 0.0015701617812737823, 0.9094240665435791)"
"(537, 188)","(-35.363261, 149.1652383)","(-35.36324067454818, 149.16525974120898)","(0.004149185493588448, 0.0015121810138225555, 0.9094884991645813)"
"(537, 183)","(-35.363261, 149.1652383)","(-35.36324026154197, 149.16525935308874)","(-0.002090843627229333, 0.0015263973036780953, 0.9094008207321167)"
"(537, 186)","(-35.363261, 149.1652383)","(-35.363240476260465, 149.16525953344996)","(0.0005364636308513582, 0.0017974943621084094, 0.9092783331871033)"
"(537, 187)","(-35.363261, 149.1652383)","(-35.36324066234147, 149.16525967995855)","(0.004255248699337244, 0.0021668258123099804, 0.9096384644508362)"
"(538, 181)","(-35.363261, 149.1652383)","(-35.36324019017392, 149.16525933457189)","(-0.0014810428256168962, 0.002165728947147727, 0.909518301486969)"
"(538, 185)","(-35.363261, 149.1652383)","(-35.363240424167294, 149.16525956094583)","(0.0009180289343930781, 0.0020243856124579906, 0.9094527959823608)"
"(538, 186)","(-35.363261, 149.1652383)","(-35.36324057653042, 149.16525971381057)","(0.004182856064289808, 0.00188489630818367, 0.909623384475708)"
"(537, 182)","(-35.363261, 149.1652383)","(-35.363240236990954, 149.16525931889961)","(-0.0018756481586024165, 0.0016697136452421546, 0.9094964265823364)"
"(537, 185)","(-35.363261, 149.1652383)","(-35.36324043331976, 149.16525950289076)","(0.000416047521866858, 0.0016200729878619313, 0.9095313549041748)"
"(537, 187)","(-35.363261, 149.1652383)","(-35.363240613781635, 149.16525967721384)","(0.0034073961433023214, 0.0015464910538867116, 0.909524142742157)"
"(252, 368)","(-35.363261, 149.1652383)","(-35.3632500816834, 149.16523534631204)","(0.0020898908842355013, -0.0012993868440389633, 4.136045281087057)"
"(252, 369)","(-35.363261, 149.1652383)","(-35.36325003529379, 149.16523538566372)","(0.0016143673565238714, 0.0004102094972040504, 4.136426035557882)"
"(254, 368)","(-35.363261, 149.1652383)","(-35.363250249683745, 149.165235402643)","(-0.0011208289070054889, 0.001312139444053173, 4.136789862309591)"
"(255, 368)","(-35.363261, 149.1652383)","(-35.363250099987816, 149.16523525263273)","(0.005816740449517965, 0.0017889185110107064, 4.137022797261373)"
"(258, 367)","(-35.363261, 149.1652383)","(-35.36325023825795, 149.1652352008673)","(0.0035657372791320086, 0.0019515486201271415, 4.13740855852236)"
"(260, 367)","(-35.363261, 149.1652383)","(-35.363250471395, 149.16523519219493)","(-0.00026576360687613487, 0.0019023269414901733, 4.137843910847799)"
"(259, 368)","(-35.363261, 149.1652383)","(-35.36325033440613, 149.16523513556984)","(0.003831360023468733, 0.0017735862638801336, 4.1379504839526575)"
"(261, 367)","(-35.363261, 149.1652383)","(-35.36325041019518, 149.16523507614173)","(0.003548459615558386, 0.0015410191845148802, 4.138248268757955)"
"(261, 367)","(-35.363261, 149.1652383)","(-35.36325052651226, 149.1652351701884)","(-0.0014465058920904994, 0.0016366656636819243, 4.1385021845446985)"
"(261, 368)","(-35.363261, 149.1652383)","(-35.36325037484322, 149.16523505622283)","(0.003987676929682493, 0.001700931927189231, 4.138730827962057)"
"(263, 367)","(-35.363261, 149.1652383)","(-35.363250478904554, 149.16523502131164)","(0.0024259197525680065, 0.0015666434774175286, 4.138803307210104)"
"(264, 367)","(-35.363261, 149.1652383)","(-35.36325059842535, 149.16523504843013)","(-0.0015826630406081676, 0.0012942804023623466, 4.13915449777712)"
"(262, 368)","(-35.363261, 149.1652383)","(-35.36325040086834, 149.16523500940627)","(0.004036868456751108, 0.0013674191432073712, 4.1392288843738)"
"(264, 367)","(-35.363261, 149.1652383)","(-35.36325050355811, 149.16523497924968)","(0.002444565761834383, 0.0013665629085153341, 4.139403168355123)"
"(265, 367)","(-35.363261, 149.1652383)","(-35.3632506293441, 149.1652350191071)","(-0.002015213016420603, 0.001280718483030796, 4.139669720326559)"
"(262, 368)","(-35.363261, 149.1652383)","(-35.363250410118894, 149.16523501647345)","(0.0037326961755752563, 0.0013153727632015944, 4.139782015477316)"
"(265, 367)","(-35.363261, 149.1652383)","(-35.36325053861834, 149.16523496170302)","(0.0017308559035882354, 0.001609036698937416, 4.139818731938497)"
"(265, 368)","(-35.363261, 149.1652383)","(-35.36325060542029, 149.16523503083684)","(-0.002405100502073765, 0.0020591099746525288, 4.140054766331808)"
"(264, 368)","(-35.363261, 149.1652383)","(-35.363250448224065, 149.16523496248098)","(0.00350755057297647, 0.001979389227926731, 4.1401947180377405)"
"(266, 368)","(-35.363261, 149.1652383)","(-35.3632505422375, 149.165234921075)","(0.001260162447579205, 0.0018672427395358682, 4.140230957661764)"
"(265, 368)","(-35.363261, 149.1652383)","(-35.36325061517387, 149.16523502874048)","(-0.002678313059732318, 0.0017350442940369248, 4.140457932149069)"
"(263, 369)","(-35.363261, 149.1652383)","(-35.363250409888096, 149.1652349760079)","(0.0033573834225535393, 0.0015818732790648937, 4.14050537744631)"
"(265, 368)","(-35.363261, 149.1652383)","(-35.363250532953806, 149.16523495280114)","(0.0010225399164482951, 0.0013744663447141647, 4.14058500925173)"
"(264, 368)","(-35.363261, 149.1652383)","(-35.36325059400204, 149.16523505215824)","(-0.002421916462481022, 0.0012728669680655003, 4.140759531651632)"
"(261, 369)","(-35.363261, 149.1652383)","(-35.36325039431815, 149.16523505628768)","(0.0025768873747438192, 0.001071135513484478, 4.140806500111715)"
"(261, 368)","(-35.363261, 149.1652383)","(-35.36325043356446, 149.16523508322624)","(0.001997006358578801, 0.0009645862155593932, 4.140895668660299)"
"(261, 368)","(-35.363261, 149.1652383)","(-35.36325054609584, 149.16523516396194)","(-0.0027609735261648893, 0.0007617578958161175, 4.141097847615377)"
"(259, 370)","(-35.363261, 149.1652383)","(-35.363250316230264, 149.1652351013732)","(0.003228760091587901, 0.0008928850875236094, 4.141153399144308)"
"(259, 368)","(-35.363261, 149.1652383)","(-35.36325041642991, 149.16523517892435)","(0.0010114765027537942, 0.0008815341861918569, 4.141171042119161)"
"(259, 368)","(-35.363261, 149.1652383)","(-35.36325048826812, 149.1652352378901)","(-0.002126166597008705, 0.0009703566902317107, 4.14122182527651)"
"(258, 370)","(-35.363261, 149.1652383)","(-35.36325028609214, 149.16523514405037)","(0.003477314952760935, 0.001135572325438261, 4.141320768986837)"
"(259, 368)","(-35.363261, 149.1652383)","(-35.36325040334694, 149.16523518571248)","(0.0013028162065893412, 0.0013006989611312747, 4.141231600438253)"
"(258, 369)","(-35.363261, 149.1652383)","(-35.36325043343216, 149.16523525821844)","(-0.0017662746831774712, 0.0011797068873420358, 4.141322199498312)"
"(257, 371)","(-35.363261, 149.1652383)","(-35.36325023753864, 149.16523515886195)","(0.0037424045149236917, 0.0010719368001446128, 4.141478363667623)"
"(257, 368)","(-35.363261, 149.1652383)","(-35.36325037696626, 149.1652352629504)","(0.0009888166096061468, 0.0009886688785627484, 4.141504828129904)"
"(257, 368)","(-35.363261, 149.1652383)","(-35.36325043800523, 149.16523531367733)","(-0.0016788734355941415, 0.001067116390913725, 4.141658846532003)"
"(256, 370)","(-35.363261, 149.1652383)","(-35.36325022991915, 149.1652352097715)","(0.004269760102033615, 0.0010912803700193763, 4.14172345796694)"
"(257, 368)","(-35.363261, 149.1652383)","(-35.36325037723728, 149.16523526312042)","(0.0009934098925441504, 0.0009640322532504797, 4.141677920018331)"
"(255, 369)","(-35.363261, 149.1652383)","(-35.363250368538104, 149.16523536627537)","(-0.0014380980283021927, 0.0009659482748247683, 4.141637865697042)"
"(255, 370)","(-35.363261, 149.1652383)","(-35.363250201118504, 149.1652352481412)","(0.004487707279622555, 0.0011927573941648006, 4.14172083536257)"
"(256, 368)","(-35.363261, 149.1652383)","(-35.36325034952725, 149.1652353038774)","(0.001140156644396484, 0.0011081986594945192, 4.141661230717794)"
"(255, 368)","(-35.363261, 149.1652383)","(-35.36325040521757, 149.16523538952356)","(-0.0019651891198009253, 0.0007525851833634079, 4.141763750706808)"
"(254, 369)","(-35.363261, 149.1652383)","(-35.363250218369025, 149.1652352942686)","(0.004231243394315243, 0.0005749629344791174, 4.141772333775656)"
"(255, 368)","(-35.363261, 149.1652383)","(-35.363250320886, 149.16523531068665)","(0.0018942966125905514, 0.0003697638458106667, 4.141919199620382)"
"(254, 369)","(-35.363261, 149.1652383)","(-35.36325034936559, 149.16523538903564)","(-0.001265886821784079, 0.0004070267314091325, 4.141984526311056)"
"(254, 369)","(-35.363261, 149.1652383)","(-35.36325020156398, 149.16523527786364)","(0.004976093303412199, 0.00043284703860990703, 4.141924444829122)"
"(254, 368)","(-35.363261, 149.1652383)","(-35.36325031315895, 149.16523536844903)","(0.0011681317118927836, 0.0005405946867540479, 4.142011229191915)"
"(255, 368)","(-35.363261, 149.1652383)","(-35.36325038716239, 149.16523536870932)","(-0.0010967152193188667, 0.0005101077840663493, 4.142026487980978)"
"(255, 369)","(-35.363261, 149.1652383)","(-35.36325022197643, 149.16523525062394)","(0.004792873281985521, 0.0007351918029598892, 4.142018858586447)"
"(255, 368)","(-35.363261, 149.1652383)","(-35.36325033906823, 149.1652353506431)","(0.0006564515642821789, 0.0009867004118859768, 4.142021958027975)"
"(255, 368)","(-35.363261, 149.1652383)","(-35.36325037924934, 149.1652353890099)","(-0.0011772230500355363, 0.0011639123549684882, 4.142139021550314)"
"(255, 369)","(-35.363261, 149.1652383)","(-35.363250224143044, 149.1652352661502)","(0.004529794678092003, 0.0011024469276890159, 4.142124478016989)"
"(257, 368)","(-35.363261, 149.1652383)","(-35.36325038245813, 149.1652352757599)","(0.0005336243193596601, 0.0010391391115263104, 4.142093245183126)"
"(256, 368)","(-35.363261, 149.1652383)","(-35.36325040464517, 149.16523534661064)","(-0.0012748781591653824, 0.0009989384561777115, 4.14212400117983)"
"(256, 369)","(-35.363261, 149.1652383)","(-35.363250244909516, 149.16523523028778)","(0.004430265631526709, 0.0011493413476273417, 4.142216746007101)"
"(258, 368)","(-35.363261, 149.1652383)","(-35.36325042181125, 149.16523525308938)","(-0.0003060542803723365, 0.0010993694886565208, 4.142109934483663)"
"(257, 369)","(-35.363261, 149.1652383)","(-35.36325038723705, 149.16523528165627)","(-0.0007416039006784558, 0.0010973148746415973, 4.142175022755758)"
"(257, 369)","(-35.363261, 149.1652383)","(-35.36325026286028, 149.16523518192145)","(0.00465666176751256, 0.0009766812436282635, 4.1422157923327845)"
"(259, 368)","(-35.363261, 149.1652383)","(-35.36325044545331, 149.165235220156)","(-0.0004974075127393007, 0.0011977088870480657, 4.142177406941549)"
"(259, 369)","(-35.363261, 149.1652383)","(-35.363250445540665, 149.16523523571587)","(-0.001782558741979301, 0.0015840961132198572, 4.1423192659961146)"
"(260, 369)","(-35.363261, 149.1652383)","(-35.36325032954107, 149.16523509164654)","(0.0040574208833277225, 0.0015977696748450398, 4.142241541539327)"
"(261, 368)","(-35.363261, 149.1652383)","(-35.363250461814566, 149.1652351407537)","(0.0002781673101708293, 0.001653609680943191, 4.142308060322897)"
"(260, 369)","(-35.363261, 149.1652383)","(-35.36325045048151, 149.16523518340287)","(-0.0010973162716254592, 0.0015642401995137334, 4.142313067113058)"
"(260, 369)","(-35.363261, 149.1652383)","(-35.36325032857639, 149.16523508344233)","(0.004225015640258789, 0.0014001238159835339, 4.142298285161154)"
"(260, 368)","(-35.363261, 149.1652383)","(-35.36325045788502, 149.16523517615076)","(-0.00016975442122202367, 0.001235413015820086, 4.142228428517477)"
"(260, 369)","(-35.363261, 149.1652383)","(-35.363250451450135, 149.16523516883902)","(-0.000886717694811523, 0.0011708587408065796, 4.142347160969869)"
"(259, 369)","(-35.363261, 149.1652383)","(-35.363250312968425, 149.16523511747158)","(0.0041555361822247505, 0.0011719069443643093, 4.142236296330587)"
"(259, 368)","(-35.363261, 149.1652383)","(-35.36325044799832, 149.16523521563346)","(-0.0004915108438581228, 0.0010186175350099802, 4.142286125813619)"
"(257, 369)","(-35.363261, 149.1652383)","(-35.3632503860994, 149.16523528003583)","(-0.0006067161448299885, 0.0010623671114444733, 4.142506424580709)"
"(257, 369)","(-35.363261, 149.1652383)","(-35.36325027333001, 149.16523519134284)","(0.0042441971600055695, 0.001022270997054875, 4.142353359852926)"
